article_date,title,paragraph,link,img_link
"May 21, 2020",Air Deliveries Bring NASA's Perseverance Mars Rover Closer to Launch,A NASA Wallops Flight Facility cargo plane transported more than two tons of equipment — including the rover's sample collection tubes — to Florida for this summer's liftoff.,https://mars.nasa.gov/news/8677/air-deliveries-bring-nasas-perseverance-mars-rover-closer-to-launch/,https://mars.nasa.gov/system/news_items/list_view_images/8677_airplane20200521-320.jpg
"May 19, 2020","NASA Wins 4 Webbys, 4 People's Voice Awards","Winners include the JPL-managed ""Send Your Name to Mars"" campaign, NASA's Global Climate Change website and Solar System Interactive.",https://mars.nasa.gov/news/8675/nasa-wins-4-webbys-4-peoples-voice-awards/,https://mars.nasa.gov/system/news_items/list_view_images/8675_Webby_main_320x240.jpg
"May 18, 2020","NASA's Perseverance Rover Goes Through Trials by Fire, Ice, Light and Sound","The agency's new Mars rover is put through a series of tests in vacuum chambers, acoustic chambers and more to get ready for the Red Planet.",https://mars.nasa.gov/news/8671/nasas-perseverance-rover-goes-through-trials-by-fire-ice-light-and-sound/,https://mars.nasa.gov/system/news_items/list_view_images/8671_PIA23890-320.jpg
"May  7, 2020",NASA's Perseverance Rover Mission Getting in Shape for Launch,Stacking spacecraft components on top of each other is one of the final assembly steps before a mission launches to the Red Planet. ,https://mars.nasa.gov/news/8657/nasas-perseverance-rover-mission-getting-in-shape-for-launch/,https://mars.nasa.gov/system/news_items/list_view_images/8657_1-PIA23884-320x240.jpg
"May  6, 2020",NASA Perseverance Mars Rover Scientists Train in the Nevada Desert,"Team members searched for signs of ancient microscopic life there, just as NASA's latest rover will on the Red Planet next year.",https://mars.nasa.gov/news/8666/nasa-perseverance-mars-rover-scientists-train-in-the-nevada-desert/,https://mars.nasa.gov/system/news_items/list_view_images/8666_PIA23776-main-320x240.jpg
"May  1, 2020",NASA's Perseverance Rover Will Look at Mars Through These 'Eyes',A pair of zoomable cameras will help scientists and rover drivers with high-resolution color images.,https://mars.nasa.gov/news/8663/nasas-perseverance-rover-will-look-at-mars-through-these-eyes/,https://mars.nasa.gov/system/news_items/list_view_images/8663_PIA23316-annotated-16-320x240.jpg
"April 30, 2020",Meet the People Behind NASA's Perseverance Rover,These are the scientists and engineers who built NASA's next Mars rover and who will guide it to a safe landing in Jezero Crater. ,https://mars.nasa.gov/news/8662/meet-the-people-behind-nasas-perseverance-rover/,https://mars.nasa.gov/system/news_items/list_view_images/8662_video-collage-perseverance-320x240.jpg
"April 29, 2020","Q&amp;A with the Student Who Named Ingenuity, NASA's Mars Helicopter","As a longtime fan of space exploration, Vaneeza Rupani appreciates the creativity and collaboration involved with trying to fly on another planet.",https://mars.nasa.gov/news/8660/qa-with-the-student-who-named-ingenuity-nasas-mars-helicopter/,https://mars.nasa.gov/system/news_items/list_view_images/8660_24934_3-courtesyRupanifamily-320x240.jpg
"April 29, 2020",Alabama High School Student Names NASA's Mars Helicopter,"Vaneeza Rupani's essay was chosen as the name for the small spacecraft, which will mark NASA's first attempt at powered flight on another planet.",https://mars.nasa.gov/news/8659/alabama-high-school-student-names-nasas-mars-helicopter/,https://mars.nasa.gov/system/news_items/list_view_images/8659_1-PIA23883-MAIN-320x240.jpg
"April 21, 2020",How NASA's Perseverance Mars Team Adjusted to Work in the Time of Coronavirus ,"Like much of the rest of the world, the Mars rover team is pushing forward with its mission-critical work while putting the health and safety of their colleagues and community first.",https://mars.nasa.gov/news/8654/how-nasas-perseverance-mars-team-adjusted-to-work-in-the-time-of-coronavirus/,https://mars.nasa.gov/system/news_items/list_view_images/8654_MAIN-IMAGE-PIA23881-320x240.jpg
"April 20, 2020",NASA's Perseverance Mars Rover Gets Balanced,The mission team performed a crucial weight-balancing test on the rover in preparation for this summer's history-making launch to the Red Planet.,https://mars.nasa.gov/news/8649/nasas-perseverance-mars-rover-gets-balanced/,https://mars.nasa.gov/system/news_items/list_view_images/8649_PIA23828-MAINimage-RoverNamePlate-320x240.jpg
"April 13, 2020",NASA's Curiosity Keeps Rolling As Team Operates Rover From Home,The team has learned to meet new challenges as they work remotely on the Mars mission.,https://mars.nasa.gov/news/8647/nasas-curiosity-keeps-rolling-as-team-operates-rover-from-home/,https://mars.nasa.gov/system/news_items/list_view_images/8647_PIA23773-32x24.jpg
"April 10, 2020",Mars Helicopter Attached to NASA's Perseverance Rover,The team also fueled the rover's sky crane to get ready for this summer's history-making launch.,https://mars.nasa.gov/news/8645/mars-helicopter-attached-to-nasas-perseverance-rover/,https://mars.nasa.gov/system/news_items/list_view_images/8645_PIA23824-RoverWithHelicopter-32x24.jpg
"April  3, 2020",NASA's Perseverance Mars Rover Gets Its Wheels and Air Brakes,"After the rover was shipped from JPL to Kennedy Space Center, the team is getting closer to finalizing the spacecraft for launch later this summer.",https://mars.nasa.gov/news/8641/nasas-perseverance-mars-rover-gets-its-wheels-and-air-brakes/,https://mars.nasa.gov/system/news_items/list_view_images/8641_PIA-23821-320x240.jpg
"April  1, 2020",The Man Who Wanted to Fly on Mars,"The Mars Helicopter is riding to the Red Planet this summer with NASA's Perseverance rover. The helicopter's chief engineer, Bob Balaram, shares the saga of how it came into being.",https://mars.nasa.gov/news/8639/the-man-who-wanted-to-fly-on-mars/,https://mars.nasa.gov/system/news_items/list_view_images/8639_bob-heli-226.jpg
"March 26, 2020",10.9 Million Names Now Aboard NASA's Perseverance Mars Rover,"As part of NASA's 'Send Your Name to Mars' campaign, they've been stenciled onto three microchips along with essays from NASA's 'Name the Rover' contest. Next stop: Mars.",https://mars.nasa.gov/news/8634/109-million-names-now-aboard-nasas-perseverance-mars-rover/,https://mars.nasa.gov/system/news_items/list_view_images/8634_PIA23769-320x240.jpg
"March 20, 2020",NASA's Curiosity Mars Rover Takes a New Selfie Before Record Climb,"Along with capturing an image before its steepest ascent ever, the robotic explorer filmed its ""selfie stick,"" or robotic arm, in action.",https://mars.nasa.gov/news/8631/nasas-curiosity-mars-rover-takes-a-new-selfie-before-record-climb/,https://mars.nasa.gov/system/news_items/list_view_images/8631_PIA23624_hutton-selfie-320x240.jpg
"March 19, 2020",NASA's Mars Perseverance Rover Gets Its Sample Handling System,The system will be collecting and storing Martian rock and soil. Its installation marks another milestone in the march toward the July launch period.,https://mars.nasa.gov/news/8630/nasas-mars-perseverance-rover-gets-its-sample-handling-system/,https://mars.nasa.gov/system/news_items/list_view_images/8630_PIA23768-320x240.jpg
"March  5, 2020",Virginia Middle School Student Earns Honor of Naming NASA's Next Mars Rover,"NASA chose a seventh-grader from Virginia as winner of the agency's ""Name the Rover"" essay contest. Alexander Mather's entry for ""Perseverance"" was voted tops among 28,000 entries. ",https://mars.nasa.gov/news/8622/virginia-middle-school-student-earns-honor-of-naming-nasas-next-mars-rover/,https://mars.nasa.gov/system/news_items/list_view_images/8622_1-PIA23764-RoverNamePlateonMars-320x240.jpg
"March  4, 2020",NASA's Curiosity Mars Rover Snaps Its Highest-Resolution Panorama Yet,"To go along with the stunning 1.8-billion-pixel image, a new video offers a sweeping view of the Red Planet.",https://mars.nasa.gov/news/8621/nasas-curiosity-mars-rover-snaps-its-highest-resolution-panorama-yet/,https://mars.nasa.gov/system/news_items/list_view_images/8621_sol2597_2600_mosaic-320x240.jpg
"March  3, 2020",NASA to Reveal Name of Its Next Mars Rover,"After a months-long contest among students to name NASA's newest Mars rover, the agency will reveal the winning name — and the winning student — this Thursday. ",https://mars.nasa.gov/news/8619/nasa-to-reveal-name-of-its-next-mars-rover/,https://mars.nasa.gov/system/news_items/list_view_images/8619_8588_name20190625-320x240.jpg
"February 27, 2020",The MarCO Mission Comes to an End,The pair of briefcase-sized satellites made history when they sailed past Mars in 2019.,https://mars.nasa.gov/news/8408/the-marco-mission-comes-to-an-end/,https://mars.nasa.gov/system/news_items/list_view_images/8408_22206_PIA22655-th.gif
"February 24, 2020",A Year of Surprising Science From NASA's InSight Mars Mission,A batch of new papers summarizes the lander's findings above and below the surface of the Red Planet.,https://mars.nasa.gov/news/8613/a-year-of-surprising-science-from-nasas-insight-mars-mission/,https://mars.nasa.gov/system/news_items/list_view_images/8613_InSight-Nature-papers-320x240.jpg
"February 21, 2020",Mars InSight Lander to Push on Top of the 'Mole',"Engineers have a plan for pushing down on the heat probe, which has been stuck at the Martian surface for a year.",https://mars.nasa.gov/news/8612/mars-insight-lander-to-push-on-top-of-the-mole/,https://mars.nasa.gov/system/news_items/list_view_images/8612_Sol427-437_backcap_push_positioning-320x240.gif
"February 21, 2020",Common Questions about InSight's 'Mole',"The following Q&amp;As with members of the team answer some of the most common questions about the burrowing device, part of a science instrument called the Heat Flow and Physical Properties Package (HP3).",https://mars.nasa.gov/news/8444/common-questions-about-insights-mole/,https://mars.nasa.gov/system/news_items/list_view_images/8444_Sol427-437_backcap_push_positioning-320x240.gif
"February 20, 2020",NASA Adds Return Sample Scientists to Mars 2020 Leadership Team,The leadership council for Mars 2020 science added two new members who represent the interests of scientists destined to handle and study the first samples from Red Planet.,https://mars.nasa.gov/news/8611/nasa-adds-return-sample-scientists-to-mars-2020-leadership-team/,https://mars.nasa.gov/system/news_items/list_view_images/8611_PIA22111-320x240.jpg
"February 18, 2020",NASA's Mars Reconnaissance Orbiter Undergoes Memory Update,Other orbiters will continue relaying data from Mars surface missions for a two-week period.,https://mars.nasa.gov/news/8609/nasas-mars-reconnaissance-orbiter-undergoes-memory-update/,https://mars.nasa.gov/system/news_items/list_view_images/8609_list_image.jpg
"February 12, 2020",NASA's Mars 2020 Rover Goes Coast-to-Coast to Prep for Launch,The agency's first step in returning rocks from Mars just arrived at Kennedy Space Center. The Mars 2020 team now begins readying for a launch to the Red Planet this July.,https://mars.nasa.gov/news/8607/nasas-mars-2020-rover-goes-coast-to-coast-to-prep-for-launch/,https://mars.nasa.gov/system/news_items/list_view_images/8607_PIA23591-320x240.jpg
"February 11, 2020",NASA Prepares for Moon and Mars With New Addition to Its Deep Space Network,Robotic spacecraft will be able to communicate with the dish using radio waves and lasers.,https://mars.nasa.gov/news/8606/nasa-prepares-for-moon-and-mars-with-new-addition-to-its-deep-space-network/,https://mars.nasa.gov/system/news_items/list_view_images/8606_list_image.jpg
"February 10, 2020","NASA Administrator Statement on Moon to Mars Initiative, FY 2021 Budget","Jim Bridenstine addresses NASA's ambitious plans for the coming years, including Mars Sample Return.",https://mars.nasa.gov/news/8603/nasa-administrator-statement-on-moon-to-mars-initiative-fy-2021-budget/,https://mars.nasa.gov/system/news_items/list_view_images/8603_list_image.jpg
"February  7, 2020","All About the Laser (and Microphone) Atop Mars 2020, NASA's Next Rover",SuperCam is a rock-vaporizing instrument that will help scientists hunt for Mars fossils.,https://mars.nasa.gov/news/8601/all-about-the-laser-and-microphone-atop-mars-2020-nasas-next-rover/,https://mars.nasa.gov/system/news_items/list_view_images/8601_PIA23316-320x240.jpg
"February  3, 2020",NASA's MAVEN Explores Mars to Understand Radio Interference at Earth,NASA’s MAVEN spacecraft has discovered “layers” and “rifts” in the electrically charged part of the upper atmosphere of Mars.,https://mars.nasa.gov/news/8596/nasas-maven-explores-mars-to-understand-radio-interference-at-earth/,https://mars.nasa.gov/system/news_items/list_view_images/8596_mavenatmars-320x240.jpg
"January 21, 2020",Nine Finalists Chosen in NASA's Mars 2020 Rover Naming Contest,Nine finalists have been chosen in the essay contest for K-12 students across U.S. to name NASA's next Mars rover. Now you can help by voting for your favorite. ,https://mars.nasa.gov/news/8588/nine-finalists-chosen-in-nasas-mars-2020-rover-naming-contest/,https://mars.nasa.gov/system/news_items/list_view_images/8588_name20190625-320x240.jpg
"January 13, 2020",NASA's Mars 2020 Rover Closer to Getting Its Name,"155 students from across the U.S. have been chosen as semifinalists in NASA's essay contest to name the Mars 2020 rover, and see it launch from Cape Canaveral this July.",https://mars.nasa.gov/news/8585/nasas-mars-2020-rover-closer-to-getting-its-name/,https://mars.nasa.gov/system/news_items/list_view_images/8585_name20190625-320x240.jpg
"December 27, 2019",Media Get a Close-Up of NASA's Mars 2020 Rover,The clean room at NASA's Jet Propulsion Laboratory was open to the media to see NASA's next Mars explorer before it leaves for Florida in preparation for a summertime launch.,https://mars.nasa.gov/news/8578/media-get-a-close-up-of-nasas-mars-2020-rover/,https://mars.nasa.gov/system/news_items/list_view_images/8578_24741_PIA23586-SAFfloor-MAIN-16_320x240px.jpg
"December 23, 2019",Space History Is Made in This NASA Robot Factory,"From rockets to rovers, JPL's Spacecraft Assembly Facility has been at the center of robotic spaceflight. Here's a closer look at what makes it so special.",https://mars.nasa.gov/news/8575/space-history-is-made-in-this-nasa-robot-factory/,https://mars.nasa.gov/system/news_items/list_view_images/8575_PIA23519-SAF-unannot-320x240.jpg
"December 18, 2019",NASA's Mars 2020 Rover Completes Its First Drive,"In a 10-plus-hour marathon, the rover steered, turned and drove in 3-foot (1-meter) increments over small ramps.",https://mars.nasa.gov/news/8573/nasas-mars-2020-rover-completes-its-first-drive/,https://mars.nasa.gov/system/news_items/list_view_images/8573_PIA23499-226.jpg
"December 12, 2019",NASA's MAVEN Maps Winds in the Martian Upper Atmosphere that Mirror the Terrain Below and Gives Clues to Martian Climate,"Researchers have created the first map of wind circulation in the upper atmosphere of a planet besides Earth, using data from NASA’s MAVEN spacecraft that were collected during the last two years.",https://mars.nasa.gov/news/8595/nasas-maven-maps-winds-in-the-martian-upper-atmosphere-that-mirror-the-terrain-below-and-gives-clues/,https://mars.nasa.gov/system/news_items/list_view_images/8595_mars_winds_preview_4-320x240.jpg
"December 12, 2019",Newfound Martian Aurora Actually the Most Common; Sheds Light on Mars' Changing Climate,"A type of Martian aurora first identified by NASA’s MAVEN spacecraft in 2016 is actually the most common form of aurora occurring on the Red Planet, according to new results from the mission.",https://mars.nasa.gov/news/8594/newfound-martian-aurora-actually-the-most-common-sheds-light-on-mars-changing-climate/,https://mars.nasa.gov/system/news_items/list_view_images/8594_apo_proton_aurora_no_text-320x240.jpg
"December 10, 2019",NASA's Treasure Map for Water Ice on Mars,"A new study identifies frozen water just below the Martian surface, where astronauts could easily dig it up.",https://mars.nasa.gov/news/8568/nasas-treasure-map-for-water-ice-on-mars/,https://mars.nasa.gov/system/news_items/list_view_images/8568_PIA23515_annotated-globe-320x240.gif
